source	replies	label
	rumour
@FatEmperor @meredithpharmd @IMWHorvitz @guido_vogel @KPMarie48 @whsource @frumioj @DoctorTro What is it for normal flu? Guessing it's pretty high. Given the extremely low average mortality rate for COVID-19 I'd expect the NNT to be over 10,000, maybe much higher once herd immunity is reached worldwide. Residual panic will no doubt help with sales.	@meredithpharmd @FatEmperor @DaleWil39870290 @guido_vogel @KPMarie48 @whsource @frumioj @DoctorTro Agree Meredith. But when herd immunity takes over, it will have fewer hosts. My belief is that immunity from a real infection is greater than that achieved from a vaccine. COVID is so contagious that herd will occur prior to a vaccine.<EOS>	nonrumour
What are the symptoms of COVID-19?  Ø Cough Ø Fever Ø Breathing difficulties Unwell people who have recently travelled from any country with ongoing transmission of COVID-19 🦠should immediately contact NCDC on 07032864444 or 0800-97000010 (toll-free).	Am I at risk of catching COVID-19 from a package or products that arrive from countries with a confirmed case(s)?  Currently there is no evidence to support transmission of COVID-19 associated with imported goods or packages countries with ongoing transmission.<EOS>Till date, there is no known case of COVID-19 in Nigeria associated with imported goods.<EOS>Should I stop my children from going to school?  No. The current situation in the country does not warrant a shutdown of daily activities. During a pandemic, various measures are instituted depending on how serious the illness is and how easily it is spread from person to person.<EOS>At the moment, there is one confirmed case in Nigeria. Therefore, measures such as school closure or closure of large gatherings, are not required. Persons with persistent cough or sneezing should stay home or keep a social distance, but not mix in a crowd.<EOS>Is there anything a person can do to avoid becoming infected?  To reduce the risk of infection or spread of COVID-19, members of the public are advised to adhere to the following hand and respiratory hygiene measures:<EOS>• Wash your hands regularly with soap under running water and use hand sanitisers frequently<EOS>• Cover your mouth and nose properly with tissue paper when sneezing and/or coughing and immediately dispose of the tissue in a covered waste bin. After this, wash your hands with soap and water or use hand sanitiser<EOS>• You may also cough into your elbow if disposable tissue is not available. You are strongly advised not to re-use handkerchiefs<EOS>• If you become sick while travelling, you should avoid close contact with other people while you are symptomatic and cover your mouth and nose with a face mask<EOS>• Avoid close contact with anyone showing symptoms of respiratory illness such as coughing and sneezing<EOS>• Healthcare workers are always advised to observe standard infection prevention and control measures when attending to patients and take a travel history<EOS>What can businesses do to protect their staff?  Businesses have an important role to play in protecting their employees. Employers are advised to circulate NCDC’s public health advisory on COVID-19 to all staff.<EOS>Encourage sick employees to stay at home if they are unwell. Ensure routine cleaning of high contact areas such as toilets, door handles, telephones.<EOS>If staff have travelled to any of the countries with ongoing transmission, they should be advised to self-isolate for 14 days.  *Countries with ongoing transmission as at February 28, 2020: China, Republic of Korea, Italy, Iran, Japan  End.<EOS>Frequently Asked Questions on CoronaVirus #COVID19 🦠 from @NCDCgov   Please Share. https://t.co/De2d9TBETZ<EOS>	nonrumour
BREAKING: Soldier shot at War Memorial in Ottawa, Hill on lockdown, shooter at large http://t.co/64V216TLzO #ottnews	Was a witness. So scary “@OttawaCitizen: BREAKING: Soldier shot at War Memorial in Ottawa, Hill on lockdown http://t.co/QHw13UgbYl #ottnews”<EOS>@projmgr trying to get coverage on this. @dish not providing CNN so have watch msnbc,<EOS>@OttawaCitizen devastating :( #staysafe<EOS>“@OttawaCitizen: BREAKING: Soldier shot at War Memorial in Ottawa, Hill on lockdown, shooter at large http://t.co/w3YhVYDb9A #ottnews” &lt; wow<EOS>	nonrumour
They found him shot dead and burned in his car after the #Ferguson chaos. What happened to Deandre Joshua: http://t.co/2MsSomv9wj	@jackhealyNYT @nytimes he was killed for telling the truth!<EOS>@jackhealyNYT @nytimes There aren't any former New Orleans cops in Ferguson, are there? #henryglover<EOS>@jackhealyNYT Been reading abt this! Hope #DeandreJoshua murder won't go unnoticed, aggressively investigated, culprit(s) brought 2 justice!<EOS>@jackhealyNYT call cnn I'm sure sonny hostin would listen<EOS>@jackhealyNYT @nytimes #HANDSUPDONTSHOOT or torch/murder on your criminal looting &amp; rioting spree because u are #LAWLESS thugs #FERGUSON<EOS>@jackhealyNYT @nytimes Shooting someone in the head and lighting their car on fire isn't an "accident."<EOS>@jackhealyNYT so sad.<EOS>“@jackhealyNYT: found shot dead and burned in his car. What happened to Deandre Joshua: http://t.co/xb9UopZvfs” No conspiracy after all?<EOS>	rumour
What are the symptoms of COVID-19? Is COVID-19 airborne? Here are the answers to your biggest questions about the coronavirus pandemic https://t.co/lAzy2pnCh3	@JoelViseeon @TIME Lol entre 2 bilans tu m’as encore éclaté<EOS>@TIME Or, can it be spread via news?<EOS>@TIME Ill keep it simple for you. Covid is THE FLU<EOS>@TIME COVID-19 Killed - 121,793 Coronavirus Cases: 1,947,867 Deaths: 121,793 Recovered: 460,251 https://t.co/qxzi8L3Aje<EOS>@TIME In detail, how can we avoid getting the coronavirus?<EOS>@meljmcguire @TIME Wish we know.<EOS>@TIME Particularly liked the airborne explanation.<EOS>@TIME When we allow the imagination to run free we may find that it throws  some frightening ideas. . In the event you get sick with COVID-19..  Understand it from virologists to get rid of false information and anxiety.  https://t.co/SSLSnu2eMZ<EOS>@TIME GOD...You're busy in managing other planets.  In your absence, Monsters have started trying to become GOD by FIXING VIRUS of Smoking, Alcohol, Drug, PORN, Premarital Sex and Extramarital Affairs......as well as CLIMATE change issue.  Hey SATAN, This is not the right way to do it.<EOS>@TIME GOD...You're busy in managing other planets.  In your absence, Monsters have started trying to become GOD by FIXING VIRUS of Smoking, Alcohol, Drug, PORN, Premarital Sex and Extramarital Affairs.....as well as CLIMATE change issue.  Hey SATAN, This is not the right way to do it.<EOS>@TIME GOD...You're busy in managing other planets.  In your absence, Monsters have started trying to become GOD by FIXING VIRUS of Smoking, Alcohol, Drug, PORN, Premarital Sex and Extramarital Affairs....as well as CLIMATE change issue.  Hey SATAN, This is not the right way to do it.<EOS>	nonrumour
Really? Because the ones I know were saying COVID-19 is just like the flu until only a few weeks ago https://t.co/M0gdIYMT75	Also, this... https://t.co/AzmscyiuEf<EOS>@mattysino Well this makes it interesting.  Everybody gets #COVID19 it seems for a reason.   https://t.co/Z8e1oXt6E8<EOS>@KeyMastermind “Jensen said he thinks the overall number of COVID-19 cases have been undercounted based on limitations in the number of tests available.”<EOS>@mattysino No, some are back to saying that 😂😂<EOS>	rumour
BREAKING NEWS: Banksy NOT arrested, cover NOT blown.	@piersmorgan @s6floozy even old art is vandalism of a nice clean canvas ...<EOS>“@piersmorgan: BREAKING NEWS: Banksy NOT arrested, cover NOT blown.” Jules will be so happy to hear this!<EOS>@lukebrison @piersmorgan oh wtf I'm so confused 😕<EOS>“@piersmorgan: BREAKING NEWS: Banksy NOT arrested, cover NOT blown.” @liamreddo u liar!!!!!!<EOS>@GravesIsTheName @piersmorgan maybe he hasn't but I'm not letting the words of piers Morgan tell me if he has or not hahahaha<EOS>“@piersmorgan: BREAKING NEWS: Banksy NOT arrested, cover NOT blown.” @katbeasley13<EOS>@piersmorgan is that even breaking news 😂<EOS>@piersmorgan BREAKING NEWS: Piers tops the scales<EOS>“@piersmorgan: BREAKING NEWS: Banksy NOT arrested, cover NOT blown.” #phew!<EOS>@piersmorgan @s6floozy The question you should be asking is why are the government wasting money and time on things that are not dangerous..<EOS>@piersmorgan @s6floozy When it's a cement plant that needs an upgrade:  http://t.co/GCaaKxkhnY Even trucks painted. http://t.co/bETM4VB1HG<EOS>classic Banksy “@piersmorgan: BREAKING NEWS: Banksy NOT arrested, cover NOT blown.”<EOS>“@piersmorgan: BREAKING NEWS: Banksy NOT arrested, cover NOT blown.”@Ryanab1991<EOS>@piersmorgan @s6floozy When you have the wall owner's permission.<EOS>@piersmorgan Good We Need His Fight Against Islam<EOS>@piersmorgan but he's in watford !! COME ON YOU HORNS !!!<EOS>"@piersmorgan: BREAKING NEWS: Banksy NOT arrested, cover NOT blown."<EOS>@piersmorgan who gets the money for his work if he's 'undercover'?<EOS>@piersmorgan @Samanthaaa_ox I'm the real banksi http://t.co/w5KKCq1m7x<EOS>@piersmorgan Wouldn't exactly call this "breaking". Original story posted on a hoax site.<EOS>@piersmorgan that's mancsy not Banksy ;)<EOS>@piersmorgan @s6floozy Someone being 'great' is subjective. For instance, many people think you're a nice guy, others - not so much<EOS>@piersmorgan yeh we realised that :S<EOS>@piersmorgan EVERYONE knows who he is Einstein !!!!!<EOS>@piersmorgan At what point does painting on public walls become art and not vandalism?<EOS>@_GeorgeRedfern @piersmorgan woohoo!<EOS>“@piersmorgan: BREAKING NEWS: Banksy NOT arrested, cover NOT blown.” Breaking news? Ha.<EOS>“@piersmorgan: BREAKING NEWS: Banksy NOT arrested, cover NOT blown.” @Ben_Weatherley<EOS>@piersmorgan  Apocalypse Averted!!! @BanksyOfficiaI<EOS>“@piersmorgan: BREAKING NEWS: Banksy NOT arrested, cover NOT blown.”wonder if paul Horner sold any sketches in his brief few hours??<EOS>@piersmorgan i've known who it was for years http://t.co/um8ZEE9q6V<EOS>@piersmorgan @s6floozy so artistic talent legitimises criminal acts?<EOS>	rumour
#FACTCHECK Does the new #coronavirus affect older people or are younger people also susceptible?  Mythbusting and Factchecking coronavirus https://t.co/kohdb5VcGe #Covid_19 #CoronavirusPandemic #CoronaVirusSafety https://t.co/vaCCm0Gdjo	#FACTCHECK Does spraying alcohol or chlorine all over your body kill the new #coronavirus?  Mythbusting and Factchecking coronavirus https://t.co/kohdb5VcGe #Covid_19 #CoronavirusPandemic #CoronaVirusSafety https://t.co/WI3PUlsGlg<EOS>#FACTCHECK How effective are thermal scanners when it comes to detecting #coronavirus?  Mythbusting and Factchecking coronavirus https://t.co/kohdb5VcGe #Covid_19 #CoronavirusPandemic #CoronaVirusSafety https://t.co/I5VxVQX5Mm<EOS>#FACTCHECK Can a UV disinfection lamp kill the new #coronavirus?  Mythbusting and Factchecking coronavirus https://t.co/kohdb5VcGe #Covid_19 #CoronavirusPandemic #CoronaVirusSafety https://t.co/oHMLSX7vRR<EOS>#FACTCHECK Are hand dryers effective in killing the new #coronavirus?  Mythbusting and Factchecking coronavirus https://t.co/kohdb5VcGe #Covid_19 #CoronavirusPandemic #CoronaVirusSafety https://t.co/1QOcwf5ZLX<EOS>#FACTCHECK Can mosquitoes transmit #coronavirus?  Mythbusting and Factchecking coronavirus https://t.co/kohdb5VcGe #Covid_19 #CoronavirusPandemic #CoronaVirusSafety https://t.co/addP8KoeLa<EOS>#FACTCHECK Can a hot bath prevent the new #coronavirus?  Mythbusting and Factchecking coronavirus https://t.co/kohdb5VcGe #Covid_19 #CoronavirusPandemic #CoronaVirusSafety https://t.co/Xe4zfSENaG<EOS>#FACTCHECK Does cold weather kill #coronavirus?  Mythbusting and Factchecking coronavirus https://t.co/kohdb5VcGe #Covid_19 #CoronavirusPandemic #CoronaVirusSafety https://t.co/0wKgr4lw1O<EOS>#FACTCHECK Can #coronavirus be transmitted in hot and humid climates?  Mythbusting and Factchecking coronavirus https://t.co/kohdb5VcGe #Covid_19 #CoronavirusPandemic #CoronaVirusSafety https://t.co/LSsnNXh3UR<EOS>	nonrumour
Here are a few stories we did this week that may help answer your questions.  Explained: What are the symptoms of COVID-19? When can I get tested in India? https://t.co/nZvcmKBMAi	https://t.co/dqfdDenZl6<EOS>Explained: What is treatment and recovery for a COVID-19 patient  https://t.co/IInDzc55n6<EOS>Why is the lockdown for 21 days? The science explained.  https://t.co/kGjiiavw4l<EOS>@dhanyarajendran Maybe a bit on "where can I get tested", considering Pvt labs given go ahead. And how long it'll take.<EOS>@harinairHT U still have to go to a doctor. Can't go to a lab.<EOS>@dhanyarajendran Good one<EOS>	nonrumour
	rumour
Y'all, I just read that ABC paid Darren Wilson $500K for the interview. Destroying black life remains a lucrative American career. #Ferguson	@McBlondeLand @deray @CNN which means CNN was outbid<EOS>@MaggieJordanACN and I believe he's already garnered over half a million from his gofundme campaign. #HowToMakeItInAmerica<EOS>@deray No wonder people are all chanting "Fuck CNN, Fuck KSTP" and so on. #FuckABC<EOS>@deray @scott_seiver What a stupid tweet.<EOS>@markchappelle @deray Crazy!<EOS>@deray @MamaPolitic :A slap in face of victim #MikeBrown and his family -- #Stephanopoulos' worst performance--He seemed in awe of killer<EOS>@deray So far that's only a rumor and ABC has banned spending money on interviews so I doubt this is true.<EOS>@tribex_stl @deray I've reached my limit of bullshit from McCulloch last night &amp; GovJayNixon today. Won't b watching DW interview.#Fergsuon<EOS>@deray Blacks are killing blacks 100x as often as whites are.  Who is destroying black's lives?  Your hate is misguided.<EOS>@deray @ShaunKing you're joking<EOS>@deray I won't watch it.<EOS>@deray @jacobmruff I hope this isn't true....<EOS>@deray tell him to save it for the wrongful death suit that's coming.<EOS>@brianstelter It was reported on CNN Brian! @deray<EOS>@deray I won't be watching that garbage.<EOS>@deray @MaggieJordanACN @ThumbsUp4 @ABC it's a parody account of a character from the HBO show, The Newsroom<EOS>@deray I cant wait for another crowd fund to go up for him.  I have some cash I want to send his way.<EOS>@deray 😒<EOS>@deray Killing #MikeBrown is proving to be a excellent career move for that p'ssy #DarrenWilson 500k to rub our noses in this in justice!<EOS>@deray what's the source? I saw that earlier but just from a right wing crackpot so didn't know what to believe<EOS>@deray omg shut up<EOS>@deray Sweet!<EOS>@deray @BlackCognizance #BoycottBlackFriday  #NoShoppingOnBlackFriday #Shop4NeedsNot4Wants #VoteWithYourBankNotes  #BoycottHate<EOS>@sadboy420x @deray Deray, you're just so damn dumb. You were one of those affirmative action hires weren't you. Sigh.<EOS>@deray @vruz really? Don't they have a policy of not paying for interviews?  This couldn't b official<EOS>@deray @ShaunKing what about the "defense fund" people donated to for Wilson, which exceeded $500K<EOS>@deray @BigBoithedog This is so disgusting.<EOS>@j_swinbanks @deray Bastard will have more now than he ever would've as the PoPo....Damn shame. #BlackLivesMatter<EOS>@deray @markchappelle what the actual, unmitigated fuck.<EOS>@deray @a_standal That action also shows how corrupt the major news organizations are. Paying for a murderer's version of his crime.<EOS>@deray Are you serious????SMDH<EOS>So does race baiting @deray @Lamarche #Ferguson<EOS>@deray Not just ABC. He shopped himself round to several of the big failstream media wankers ovr the wkend...almost like he knew it was time<EOS>@deray between that and donations he's a fucking millionaire..... And Conservatives don't understand why there's anger<EOS>@deray @ShaunKing Screw ABC. That's disturbing.<EOS>@yusufyuie @deray I hope people don't watch this bull****! No ratings for ABC. #sick<EOS>@deray source?<EOS>@deray The only one who can destroy your life is yourself. Get up and do something and stop complaining. That goes for anyone.<EOS>@deray if that's true boycott all ABC shows<EOS>@deray  If a fund is set up to support the Browns in a civil suit against Wilson + Ferguson PD then it would raise millions of dollars.<EOS>@deray @TheObamaDiary There is a way to make them feel our pain...It is called BOYCOTT! #ABC<EOS>@deray Yea and some jerk wants to invite him to the WH to let him know we appreciate him.<EOS>@deray @SELFMADE_G22 you nitwits amped this non story up to ludicrous levels. Strategy&gt;emotions.<EOS>@deray @CaliphGoose Actually it was 513K and they had to sign notarized agreements promising not to give his location to anyone.<EOS>@MaggieJordanACN  if he retracted- they WHY did you need to mention his tweet at all?<EOS>@deray we need to boycott @abc<EOS>@deray @MaggieJordanACN @ThumbsUp4 @ABC This might seem like a strange question, by where does Officer Wilson expect to work 😢#Ferguson<EOS>@deray @TheObamaDiary If they paid him $1 it was too much. I didn't watch it. #BOYCOTTABCNEWS<EOS>@deray He will continue on his media tour as long as it remains profitable. He's no good for anything else, never was.<EOS>@deray This country is literally built on &amp; thru the destruction of Black lives. That it continues is saddening, maddening, &amp; unsurprising.<EOS>@deray @Doc_Milla He is now a success to the Klan, and the man he married.<EOS>“@deray: Y'all, I just read that ABC paid Darren Wilson $500K for the interview."  shame on you @ABC!!!!<EOS>@deray FWIW @MaggieJordanACN is a parody account for a character on HBO's the Newsroom.  Have no idea what their agenda is here.<EOS>@deray I bet the Browns did every one of their interviews absolutely free, didn't they??<EOS>@deray @scott_seiver Read it on the Internet? IF so, it must be true!<EOS>@deray @ksecus . I bet not. Did u listen?  He's telling truth. U just don't want to hear it!<EOS>@deray @neilpX Wilson will be on channel 7 @ 8 tonight. Wonder what he'll get for that one. No matter ... I wont be watching.<EOS>@deray Just ask Zimmerman! 1st its interviews for pay then the gun show circuit for autographs for pay!<EOS>@deray @BlackCognizance Add ABC to my boycott list along with Walmart, Olive Garden, FOX pukes..err news, Koch Industrie,Monsanto. Arggh!<EOS>@deray @Donna_West White men get paid whether they do good or bad. White supremacy: Rule No. 1.<EOS>@deray they ran out of animals..now they hunt us<EOS>@deray @jbctz not black, but I believe it is wrong for him to get paid for this, wrong for ABC to offer. How can anyone do this? sorry 4 all<EOS>@deray false it didn't even come from a reliable source<EOS>@deray @makenARTISGOOD And he wound up with the same amount in donations. Sickening<EOS>@deray @MaryamRamezani Check that. abc doesn't pay for interviews beyond hotel and transportation.<EOS>@deray what????<EOS>@deray @ShaunKing Got a link?<EOS>@rolandsmartin @deray @ShaunKing  where on ABC? If that's true he got a paid vacation and a million dollar bonus.<EOS>@deray Are you serious???<EOS>@McBlondeLand @funnymonkey @deray @CNN   Something in my mind is saying that, ThaT, is illegal in itself.   aka; Fortune Hunters. vs Infamy.<EOS>@deray @ArrogantDemon Again, who says a black man's life is worthless! Ka-CHING!<EOS>.@deray @liamobde Opportunity for Black Friday Add Bonanza on ABC!<EOS>@deray he's gonna need that for the civil suit<EOS>Source: http://t.co/Z1hNcxJ847 Is this just networking smearing ea other? If real, shows being killer-cop pays like crime. @deray @ShaunKing<EOS>@KingofFree @PeterMaude @Jesse_sDad @deray Well when he sues the NYT, Sharpton and the rest I hope he bankrupts them all<EOS>@deray is it confirmed?<EOS>@deray really? i read they didn't pay him anything<EOS>@deray BOYCOTT ABC AS WELL !<EOS>#WhoWantsToBeAMillionair @deray @Cleosbaby64 Just #Murder a Black Person.<EOS>@deray whatever happened to not being able to profit from your crime?<EOS>@deray what<EOS>@deray @MattMurph24 Wilson's dfenc hinges on "I was afraid for my life" but he sd in @abc intv that he was worried "legally." Liar. Murderer<EOS>@deray @radicalhearts Wow! That's so fucked up.<EOS>@deray #BDS @ABC Good time to Boycott, Divest &amp; Sanction. Never let #DarrenWilson rest. Never.<EOS>@deray who's reporting that?<EOS>	rumour
	rumour
	nonrumour
Are antibiotics effective in preventing or treating the COVID-19? No. Antibiotics dont work against viruses, they only work on bacterial infections.COVID-19 is caused by a virus, so antibiotics do not work. Antibiotics should not be used as a means of prevention or treatment	Protection measures for everyone.   * Regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water.  * Maintain at least 1 metre (3 feet) distance between yourself and anyone who is coughing or sneezing.<EOS>* Avoid touching eyes, nose and mouth.  * Make sure you, and the people around you, follow good respiratory hygiene. This means covering your mouth and nose with your bent elbow or tissue when you cough or sneeze.<EOS>*Stay home if you feel unwell. If you have a fever, cough and difficulty breathing, seek medical attention.<EOS>Should I wear a mask to protect myself?   Only wear a mask if you are ill with COVID-19 symptoms (especially coughing) or looking after someone who may have COVID-19. Disposable face mask can only be used once.<EOS>The following measures ARE NOT effective against COVID-2019 and can be harmful:  Smoking Wearing multiple masks Taking antibiotics.    Culled from W.H.O website<EOS>Who is at risk of developing severe illness? COVID-2019 affects people, older persons and persons with pre-existing medical conditions (such as high blood pressure, heart disease, lung disease, cancer or diabetes)  appear to develop serious illness more often than others.<EOS>	nonrumour
And @ABC, please tweet saying that you did not pay or compensate Darren Wilson for the interview in any way. We're waiting. #Ferguson	@DJOranguTrump @JesseLaGreca @deray @ABC @aemdee It means there is financial incentive for killing unarmed black men. Better?<EOS>@deray @stuxnetsource @ABC   I'd want that declaration to be done under oath - with a BILLION dollar fine if proven a lie<EOS>@deray @Trina_R_Cuppett @ABC Beginning to wonder about Good Morning America! Why is TJ Holmes, credible journalist, 2nd chair to Dan Harris?<EOS>@deray @ABC I want a public statement with documents.<EOS>@deray @ABC @jjconceptsinc Folks the "so what" here is the ethics of journalism.<EOS>@deray @ABC smh. 500k.<EOS>@deray @ABC Release the signed contract. A Tweet isn't sufficient at this point.<EOS>	rumour
https://t.co/jCJpa9L9NM What is Haseltine talking about? This is simply wrong. The common cold coronaviruses confer immunity for several months to several years, about 2 years on average. Seems to also completely confuse the concept of herd immunity with just immunity. WTF	Difficult to see this as anything but alarmism and sensationalism. We are ~7 months into this pandemic with all eyes on this virus, and there is still not a single example of SARS-CoV-2 reinfection reported.<EOS>	nonrumour
Do vaccines against pneumonia protect you against the new coronavirus? #CoronavirusLockdown #StayAtHomeSaveLives #SocialDistancing #CoronaVirus #Vaccines #Pneumonia #2019nCoV #WednesdayWisdom #WednesdayMotivation #healthcare #healthcareIndia #WeKnowYourValue #1TabShipMed #1Tab https://t.co/N3f7MCnEhL	#CoronavirusOutbreak #COVID2019 #COVID2019india #CoronaVirusUpdate #WednesdayThoughts #WednesdayVibes #SwasthaBharat #HealthForAll #Knowledge #didyouknow #DYK #thingstoknow #healthfact #onlinepharmacy #Medicines #OnlineMedicines #Health #healthyliving #wellness #Covid19Out<EOS>	nonrumour
@pdubdev @UtahCoronavirus @MLevitt_NP2013 If you don't like the term herd immunity why did you use it? And what is burnout in this context? If you'd like to share info, I'd prefer a source over a twitter account so I don't need to try to sift through a bunch of their info to find whatever it was you hoped to share. Thx.	@pdubdev @UtahCoronavirus It would be cool if that were true or if we even knew it were possible.  We don't know if or for how long getting the virus gives an individual immunity for. There have been people getting the virus twice. The science on this is presumed but isn't in yet.<EOS>COVID-19 cases threaten our economy and our ability to ensure hospital care to people who need it. Everyone should wear a mask to protect those around you, practice physical distancing, stay home if they're sick, and wash their hands regularly. https://t.co/9eSJj8XQS8<EOS>	nonrumour
	nonrumour
	nonrumour
	nonrumour
@hatefreeworldX What is our combat strategy?  I am only hearing one answer nowadays - herd immunity 🤔	⏩ 18,183 new cases reported on 25-Jun at 5.10% cumulative salience in global cases  #India ranks 4th in global total cases and 8th in number of global fatality  #Delhi ranks 3rd in pan-India total cases and 2nd in pan-India fatality https://t.co/p5b6iU6z4w<EOS>@IchbinUjjaini I think it’s called Distraction by Galwan   AKA sacrificing lives of our Armed Forces to China<EOS>@hatefreeworldX Triggered by all round failure in governance - agree<EOS>@sangramsatpath9 @hatefreeworldX Hmn everything is Aatmanirbhar like fuel price, goin up<EOS>	nonrumour
Q2. @PublicHealthRx How does COVID-19 spread? #JCIAUKickoutCovid19 https://t.co/euQekyE0oN	A trusted and valued health care professional with over 12 years of experience in Public Health and over 15 years experience as a pharmacy professional. #JCIAUKickoutCovid19<EOS>Q3. @PublicHealthRx What are the symtoms of COVID-19? #JCIAUKickoutCovid19 https://t.co/x7JFepm7BB<EOS>Q4. @PublicHealthRx How do i know if am infected with COVID-19? #JCIAUKickoutCovid19 https://t.co/drJo6OpzaR<EOS>Q5. @PublicHealthRx Who is at risk for becoming sick and ill from COVID-19 ? #JCIAUKickoutCovid19 https://t.co/SCCIVGx2qC<EOS>Q6. @PublicHealthRx How do you prevent exposure and protect yourself? #JCIAUKickoutCovid19 https://t.co/vBNfXBvnyS<EOS>Q7. @PublicHealthRx Is there a treatment for COVID-19? #JCIAUKickoutCovid19 https://t.co/VHVgrpAf3m<EOS>Q8. @PublicHealthRx  Is there a vaccine for COVID-19? #JCIAUKickoutCovid19 https://t.co/6WP3JxG0OV<EOS>Q9. @PublicHealthRx 9. What is 'social distancing' and what can I do if I'm not able to be six feet apart? #JCIAUKickoutCovid19 https://t.co/mBvz7dbi7k<EOS>Q10. @PublicHealthRx 10. Should I wear a face covering in public? Will it protect me from getting COVID-19? #JCIAUKickoutCovid19 https://t.co/druyjfHf3M<EOS>@jciabujaunity @PandemicVNig @sharidan2003 @AbujaCommunity @WHO @WHONigeria @Fmohnigeria @OfficialFCTA @jcisyria @BonaNaija COVID-19 is spread through respiratory droplets from person-to-person contact or through touching surfaces that have viral particles on them and then touching your face or mouth.  #JCIAUKickoutCovid19 @jci_nigeria  @NCDCgov<EOS>@jciabujaunity @PandemicVNig @sharidan2003 @AbujaCommunity @WHO @WHONigeria @Fmohnigeria @OfficialFCTA @jcisyria @BonaNaija COVID-19 can live on surfaces for a variety of different times so that’s why it’s so important to do frequent handwashing for at least 20seconds and disinfecting surfaces with Cleaning products that are known to kill the virus.  #JCIAUKickoutCovid19 @jci_nigeria  @NCDCgov<EOS>@jciabujaunity @PandemicVNig @sharidan2003 @AbujaCommunity @WHO @WHONigeria @Fmohnigeria @OfficialFCTA @jcisyria @BonaNaija Social distancing and physical separation by at least 6 feet or 1 meter is vital to making sure that we limit viral spread. When we employ these recommendations fewer people become infected and therefore cannot go on to infect others.  #JCIAUKickoutCovid19 @jci_nigeria  @NCDCgov<EOS>@jciabujaunity @PublicHealthRx @PandemicVNig @sharidan2003 @AbujaCommunity @WHO @WHONigeria @Fmohnigeria @OfficialFCTA @jcisyria @BonaNaija What is currently known is spread through droplets (from coughing or sneezing) which can get into mucous membranes of the eye, mouth &amp; nose if the infected person is close-by or drops on a surface and introduced into these mucous membranes with our hands when we touch the surface<EOS>	nonrumour
Sugarhill Gang's Big Bank Hank Dies -- Dead at 57 from Cancer http://t.co/gNcmeO2Ogw	@TMZ RIP. greatest rap song ever. Help put rap on the map 35 plus yrs ago. Song still going strong. My HS kids listen to it to this day.<EOS>“@TMZ: Sugarhill Gang's Big Bank Hank Dies -- Dead at 57 from Cancer http://t.co/droKHjEfSP” rest in peace big bank<EOS>@TMZ Heartbreaking...<EOS>“@TMZ: Sugarhill Gang's Big Bank Hank Dies -- Dead at 57 from Cancer http://t.co/6W52pXW6KT”<EOS>“@TMZ: Sugarhill Gang's Big Bank Hank Dies -- Dead at 57 from Cancer http://t.co/aVU7slqYc5” rip man<EOS>“@TMZ: Sugarhill Gang's Big Bank Hank Dies -- Dead at 57 from Cancer http://t.co/uj4Ryj5Oux” wow<EOS>“@1000Jasus: “@TMZ: Sugarhill Gang's Big Bank Hank Dies -- Dead at 57 from Cancer http://t.co/HYXzy4ZthE” wow” Wow RIP!  #mychildhood<EOS>“@TMZ: Sugarhill Gang's Big Bank Hank Dies -- Dead at 57 from Cancer http://t.co/COzOyuvzlY” Rest Easy 🙏<EOS>Damn RT @TMZ: Sugarhill Gang's Big Bank Hank Dies -- Dead at 57 from Cancer http://t.co/QOZzVhRqYj<EOS>@TMZ  New music -  @Hitchins_Tsar Directed by MookDookVision http://t.co/JfYDnF8PKh<EOS>Awwwwwww so heartbreaking 😢💔  "@TMZ: Sugarhill Gang's Big Bank Hank Dies -- Dead at 57 from Cancer http://t.co/SDJq8bmQCh”<EOS>@TMZ You still can manage to escape... http://t.co/sGslWrtfEv  /+56 http://t.co/AxVCzYaEkA<EOS>@TMZ become the best you can be        http://t.co/MWBNum8mBj<EOS>@TMZ so sorry to hear<EOS>@TMZ Hank was the personality in the group. His verses were what I waited for in a Sugar hill jam. Woo hah, rest in peace, Big Bank.<EOS>“@TMZ: Sugarhill Gang's Big Bank Hank Dies -- Dead at 57 from Cancer. The man on the mic is my man hank come on hank sing that song RIP ❤️<EOS>“@TMZ: Sugarhill Gang's Big Bank Hank Dies -- Dead at 57 from Cancer http://t.co/9AA6BhGYD1” Sad.<EOS>Dammit RT @TMZ: Sugarhill Gang's Big Bank Hank Dies -- Dead at 57 from Cancer http://t.co/TS7xkesegb<EOS>“@TMZ: Sugarhill Gang's Big Bank Hank Dies -- Dead at 57 from Cancer http://t.co/3QgFHTxCUY” rip<EOS>@TMZ @LacedupCavsfan Awww, that makes me sad😢Im so glad we got to see them back in '97. May he RIP &amp; condolences to his family &amp; friends. 🙏<EOS>	nonrumour
	nonrumour
